word,coefficient,abs_coef
predict,0.6485863331242966,0.6485863331242966
aug,0.6482818110694973,0.6482818110694973
philli,0.6473224457393574,0.6473224457393574
fyi,0.6444270332020208,0.6444270332020208
leader,0.644026643365335,0.644026643365335
closur,0.6422706269707078,0.6422706269707078
involv,0.6393732458894088,0.6393732458894088
traffic,0.638397275494092,0.638397275494092
steal,0.6335456224334495,0.6335456224334495
st,0.632323814203906,0.632323814203906
greec,0.6320051081735842,0.6320051081735842
mph,0.6299542865171227,0.6299542865171227
fulli,0.629698552807336,0.629698552807336
allow,0.6295897843978517,0.6295897843978517
bigger,0.6292852817180271,0.6292852817180271
quickli,0.6275877354965004,0.6275877354965004
vietnam,0.6275449947554146,0.6275449947554146
abe,0.6263337122897084,0.6263337122897084
iraq,0.625575910685715,0.625575910685715
came,0.6253709436760553,0.6253709436760553
usagov,0.624385713237192,0.624385713237192
armi,0.6242091195427925,0.6242091195427925
prior,0.6220470829588575,0.6220470829588575
trolley,0.6205668979255552,0.6205668979255552
leed,0.6205543367730307,0.6205543367730307
region,0.620175108436381,0.620175108436381
motorcyclist,0.6200605474426714,0.6200605474426714
object,0.6182879332268274,0.6182879332268274
cdt,0.6166316759204421,0.6166316759204421
respond,0.61639063258862,0.61639063258862
masturb,0.6159004147263129,0.6159004147263129
tragedi,0.6144541061810506,0.6144541061810506
numth,0.6127199453676389,0.6127199453676389
closest,0.6127149404875861,0.6127149404875861
striker,0.6125727681384737,0.6125727681384737
emerg,0.6119372125646652,0.6119372125646652
airport,0.6111012335976292,0.6111012335976292
stacey,0.6099307452976628,0.6099307452976628
sinjar,0.6093129355096347,0.6093129355096347
yazidi,0.6093129355096347,0.6093129355096347
relat,0.6058060006184905,0.6058060006184905
toward,0.6046011463194477,0.6046011463194477
lighten,0.6044962232719863,0.6044962232719863
could,0.6031345374071959,0.6031345374071959
nw,0.6014844314658152,0.6014844314658152
truck,0.6000497758628087,0.6000497758628087
philippin,0.5994808074217026,0.5994808074217026
nasa,0.5990679367334708,0.5990679367334708
intens,0.5985435384405194,0.5985435384405194
ft,0.5965915216281087,0.5965915216281087
hatchet,0.5962659197629153,0.5962659197629153
order,0.5945063916266775,0.5945063916266775
expect,0.5941169522640972,0.5941169522640972
forget,0.5940084843070077,0.5940084843070077
nail,0.5937459898419581,0.5937459898419581
jonathan,0.5935449155058555,0.5935449155058555
young,0.5929766048880029,0.5929766048880029
look,0.5926797514506256,0.5926797514506256
allah,0.5905546763277448,0.5905546763277448
pak,0.5895980980631,0.5895980980631
tropic,0.5890125886736322,0.5890125886736322
ridg,0.5878621114185699,0.5878621114185699
mountain,0.5861085555731645,0.5861085555731645
presid,0.5839631124789028,0.5839631124789028
patient,0.5833441227612359,0.5833441227612359
la,0.583199508401566,0.583199508401566
nd,0.5822718291426081,0.5822718291426081
numrd,0.5812872257810425,0.5812872257810425
olymp,0.5794941814533032,0.5794941814533032
nigeria,0.5793762584505611,0.5793762584505611
field,0.5782497213323545,0.5782497213323545
refus,0.5774858777171633,0.5774858777171633
dress,0.5762601476001931,0.5762601476001931
sinc,0.576165983045818,0.576165983045818
calif,0.5756238407864198,0.5756238407864198
lownd,0.5743290515109016,0.5743290515109016
nearli,0.5739564517491438,0.5739564517491438
outsid,0.5720163639465825,0.5720163639465825
suddenli,0.571690028606561,0.571690028606561
truli,0.5716449588296892,0.5716449588296892
motorcycl,0.5697218855981483,0.5697218855981483
ukrain,0.5670239916626153,0.5670239916626153
mishap,0.5667956605269123,0.5667956605269123
okanagan,0.5655460430330628,0.5655460430330628
railway,0.5650190582569852,0.5650190582569852
claim,0.5649882105318199,0.5649882105318199
avoid,0.5648732956146406,0.5648732956146406
quarter,0.564413491729581,0.564413491729581
except,0.5630193901998755,0.5630193901998755
harbor,0.5624952800125539,0.5624952800125539
irish,0.5622598336858445,0.5622598336858445
swiss,0.5622498840843221,0.5622498840843221
damn,0.561637887482848,0.561637887482848
citizen,0.561375300075393,0.561375300075393
extrem,0.561216487907324,0.561216487907324
sj,0.561118242647802,0.561118242647802
fight,0.5609266574125795,0.5609266574125795
travel,0.5603182632259638,0.5603182632259638
imagin,0.5598704857549203,0.5598704857549203
incred,0.5596234088926358,0.5596234088926358
mount,0.5588927550004682,0.5588927550004682
dock,0.5580517549887529,0.5580517549887529
aid,0.5573850929554011,0.5573850929554011
hwi,0.5572638486969893,0.5572638486969893
